"ID"	"Beta"	"HR"	"P-value"	"GP1"	"GP2"	"Hr-Inv-lst"	"Concordance"	"Std_Error"
"ACAP2"	"-1.86978944610485"	"0.154156116569078"	"0.0106527634755026"	"122"	"36"	"6.48693040701952"	"0.575688816855754"	"0.0306033033040787"
"ACBD5"	"-0.892109180392158"	"0.409790518479055"	"0.0447891432322253"	"122"	"36"	"2.44027119932281"	"0.60032414910859"	"0.0187099467338929"
"ACE"	"2.28962475133931"	"9.8712328191996"	"0.0275083582965678"	"157"	"1"	"0.101304469088703"	"0.514100486223663"	"0.0139181528471232"
"ACMSD"	"0.849979621645284"	"2.33959917425833"	"0.0253990253987073"	"45"	"113"	"0.427423642050569"	"0.596434359805511"	"0.0292347787457115"
"ACO1"	"0.902437497127577"	"2.46560569934913"	"0.033585729362764"	"144"	"14"	"0.405579854176999"	"0.544570502431118"	"0.0331442766378432"
"ACO2"	"-1.13515968358655"	"0.32137079959499"	"0.0181583455035445"	"118"	"40"	"3.1116703859226"	"0.6"	"0.0270614617050402"
"ACP5"	"0.68233547087248"	"1.97849305355634"	"0.0307882760020141"	"113"	"45"	"0.505435183713432"	"0.579902755267423"	"0.0439206769270203"
"ACRV1"	"0.759463873312212"	"2.13713014079856"	"0.0227365719845841"	"82"	"76"	"0.467917222685532"	"0.603079416531604"	"0.0425352010390649"
"ACSBG1"	"-0.916927464481168"	"0.39974538802567"	"0.0133283482360966"	"24"	"134"	"2.50159233841063"	"0.563695299837925"	"0.0371144049754951"
"ACSM5"	"-1.04401454703774"	"0.352038565946431"	"0.000707194611462281"	"47"	"111"	"2.84059786833744"	"0.642787682333874"	"0.0433890636127022"
"ACSM6"	"0.67410322515383"	"1.96227247010662"	"0.0291915003231444"	"89"	"69"	"0.509613224072631"	"0.606969205834684"	"0.0434492809881783"
"ACTG1"	"0.790511592998737"	"2.20452395683483"	"0.0313083036110581"	"136"	"22"	"0.453612670844257"	"0.552674230145867"	"0.0360572098897564"
"ACTN1"	"0.777188413235526"	"2.17534748116545"	"0.0220156262961775"	"66"	"92"	"0.459696673132996"	"0.624311183144246"	"0.0325727912461314"
"ACTR3"	"1.37406850838086"	"3.9513943174313"	"6.92425267530307e-05"	"127"	"31"	"0.253075223494798"	"0.624797406807131"	"0.0418190114884546"
"ADAM12"	"1.12281359772813"	"3.07348961270386"	"0.0382519780773504"	"148"	"10"	"0.325363064793397"	"0.520907617504052"	"0.0196792144873589"
"ADAM15"	"0.943934834349298"	"2.57007436516227"	"0.00949362980489125"	"62"	"96"	"0.389093799601734"	"0.604700162074554"	"0.0379726781326305"
"ADAM19"	"0.93040513388265"	"2.53553620118857"	"0.00657500357778824"	"127"	"31"	"0.394393895670365"	"0.599189627228525"	"0.0419851189907517"
"ADAM32"	"-1.35129662772888"	"0.258904340364334"	"0.0110357503951813"	"6"	"152"	"3.86243041963987"	"0.542139384116694"	"0.0275377194256962"
"ADAMTS18"	"0.880526679355382"	"2.4121698119603"	"0.0052937897628814"	"115"	"43"	"0.414564511603488"	"0.578768233387358"	"0.0435967498906748"
"ADAMTS7"	"1.63633918530747"	"5.13633189349531"	"6.0022544796906e-06"	"134"	"24"	"0.194691468685349"	"0.618638573743922"	"0.039910019082193"
"ADAMTS8"	"-0.807108283542946"	"0.446146331365139"	"0.0107060461204548"	"69"	"89"	"2.24141706363505"	"0.550891410048622"	"0.0463113404239099"
"ADCK2"	"0.850373966106449"	"2.34052196417063"	"0.0093712333831807"	"128"	"30"	"0.42725512313419"	"0.609400324149109"	"0.0428504496216109"
"ADCY2"	"-1.26353428576345"	"0.282653281613077"	"7.97232625597188e-05"	"62"	"96"	"3.53790337863085"	"0.688654781199352"	"0.0374887406222222"
"ADCY8"	"-0.999478143015428"	"0.368071471729184"	"0.0124272858878886"	"19"	"139"	"2.7168636441777"	"0.564667747163695"	"0.0364844883040699"
"ADD3"	"-0.941614418337893"	"0.389997707399754"	"0.0034476227091591"	"30"	"128"	"2.56411763717109"	"0.60259319286872"	"0.0427702437156716"
"ADGRB3"	"-1.31420550007429"	"0.268687710826091"	"0.0162905121322156"	"126"	"32"	"3.7217928461464"	"0.567260940032415"	"0.0286947247452159"
"ADGRD2"	"0.636685895348567"	"1.89020614650517"	"0.0453815837263771"	"108"	"50"	"0.529042825222484"	"0.560940032414911"	"0.0436172340521981"
"ADGRE2"	"0.803665781542462"	"2.23371424699747"	"0.027284425913888"	"125"	"33"	"0.447684837639456"	"0.56904376012966"	"0.0414283605927293"
"ADGRE5"	"0.722579066231549"	"2.05973856845627"	"0.0258752664702055"	"85"	"73"	"0.485498507099121"	"0.604862236628849"	"0.0408740491098087"
"ADGRG7"	"1.06107737600342"	"2.88948237187228"	"0.000958544124654032"	"105"	"53"	"0.346082748153967"	"0.626418152350081"	"0.0431132848144737"
"ADGRL4"	"2.28962475133931"	"9.8712328191996"	"0.0275083582965678"	"157"	"1"	"0.101304469088703"	"0.514100486223663"	"0.0139181528471232"
"ADGRV1"	"-1.460250512785"	"0.232178103860376"	"0.00106666999280736"	"7"	"151"	"4.30703836138383"	"0.564667747163695"	"0.0318162003423354"
"ADH4"	"0.929186507857398"	"2.53244821271954"	"0.0053643569634913"	"74"	"84"	"0.39487480730203"	"0.621231766612642"	"0.0380884950197088"
"ADHFE1"	"-0.994115501990217"	"0.370050608861693"	"0.00424531302941195"	"83"	"75"	"2.70233307567331"	"0.63095623987034"	"0.0365716504750574"
"ADK"	"-0.897278697955796"	"0.407677565375983"	"0.00358589558061884"	"54"	"104"	"2.45291888720377"	"0.659319286871961"	"0.0402497418843595"
"ADNP"	"0.692318109529579"	"1.99834254510812"	"0.034702488139719"	"123"	"35"	"0.500414707402375"	"0.546191247974068"	"0.0390734762924862"
"ADPRH"	"1.21366954488791"	"3.36581302092901"	"0.00635753478638603"	"44"	"114"	"0.297105036370674"	"0.56677471636953"	"0.0410224444732936"
"ADRB2"	"-1.20186889986686"	"0.300631835765701"	"0.00033733926934641"	"27"	"131"	"3.32632769065534"	"0.615235008103728"	"0.0420752669447237"
"ADRM1"	"0.862297448581354"	"2.36859617536805"	"0.0169089429062328"	"126"	"32"	"0.422191005119145"	"0.576985413290113"	"0.0407158847258185"
"AEN"	"1.33970088780088"	"3.81790135368917"	"0.000705409504602377"	"140"	"18"	"0.261924001528672"	"0.585737439222042"	"0.0367038555891953"
