"ID"	"Beta"	"HR"	"P-value"	"GP1"	"GP2"	"Hr-Inv-lst"	"Concordance"	"Std_Error"
"TRIM56"	"0.683755302008638"	"1.98130417478293"	"0.0334106723606892"	"83"	"75"	"0.504718060319819"	"0.619465788510794"	"0.0454909429777155"
"TRIM6"	"0.750435724847179"	"2.11792264711331"	"0.0377449830783751"	"57"	"101"	"0.472160775731343"	"0.538053421148921"	"0.0492604024691907"
"TRIM64B"	"0.774347478330382"	"2.16917623078633"	"0.0284268907758174"	"119"	"39"	"0.46100449830095"	"0.594767654592023"	"0.0453499489570124"
"TRIM71"	"1.30625190112025"	"3.69230860679604"	"0.0158267134856669"	"147"	"11"	"0.270833266254994"	"0.537504573728503"	"0.0294493503108899"
"TRIM75P"	"0.657091777530345"	"1.92917370193768"	"0.0427627709785796"	"115"	"43"	"0.518356640978254"	"0.571716062934504"	"0.045265497646666"
"TRIM77"	"2.6329115319796"	"13.9142226880909"	"0.0162715029122465"	"156"	"2"	"0.0718689086998653"	"0.521587998536407"	"0.0219225622721134"
"TRIM8"	"-0.993700955052681"	"0.370204044009168"	"0.00213448738162298"	"39"	"119"	"2.70121306393735"	"0.655872667398463"	"0.0456803811621409"
"TRIO"	"2.6838216020723"	"14.640938359484"	"0.012788267518737"	"155"	"3"	"0.068301633095274"	"0.52488108305891"	"0.0255063622463171"
"TRIP13"	"0.824416769437088"	"2.28055029075048"	"0.0100105090279045"	"96"	"62"	"0.43849065905533"	"0.613062568605928"	"0.0467665294898299"
"TRIP4"	"0.832906110369165"	"2.29999307110878"	"0.0109093915806585"	"88"	"70"	"0.434783918508903"	"0.609220636663008"	"0.0455312803551856"
"TRMT2B"	"1.36610167787097"	"3.92003929454585"	"0.0127102614712672"	"148"	"10"	"0.255099483668786"	"0.530003658982803"	"0.0218858740558486"
"TRMT6"	"1.08228361686149"	"2.95141175490146"	"0.00367567900178388"	"138"	"20"	"0.33882090438221"	"0.564581046469082"	"0.036566028766474"
"TROAP"	"1.0083670954307"	"2.74112136898663"	"0.00166495875419877"	"105"	"53"	"0.364814200244512"	"0.651115989754848"	"0.0468528494504929"
"TRPC1"	"-0.748060006601581"	"0.47328383020339"	"0.0261648756336797"	"62"	"96"	"2.11289703172462"	"0.575740944017563"	"0.0475995037918102"
"TRPM8"	"1.68894339890315"	"5.41375749997867"	"0.00677034045730685"	"152"	"6"	"0.184714590560057"	"0.552506403219905"	"0.0334941905137568"
"TSG101"	"1.47159770506049"	"4.35618949007682"	"0.0455787838816934"	"156"	"2"	"0.229558425380243"	"0.513721185510428"	"0.0113865730974218"
"TSPAN1"	"-0.698994488973002"	"0.497084876911266"	"0.046543124947206"	"32"	"126"	"2.01172887458113"	"0.569154774972558"	"0.0410714134401342"
"TSPAN16"	"0.691775030893411"	"1.99725758260078"	"0.0305249047839446"	"92"	"66"	"0.500686545747308"	"0.584156604463959"	"0.047771146738455"
"TSPAN5"	"-0.95002814651921"	"0.386730138194047"	"0.0341808897404863"	"12"	"146"	"2.58578243906669"	"0.566593487010611"	"0.0387204550033353"
"TSPY3"	"2.79070218871347"	"16.2924561649096"	"0.00855539777932206"	"157"	"1"	"0.0613780997707259"	"0.517929015733626"	"0.0175666274082873"
"TSPYL1"	"-0.969027786664276"	"0.379451766900873"	"0.0310673779809103"	"120"	"38"	"2.63538106085888"	"0.566593487010611"	"0.0380332077560459"
"TSPYL4"	"-1.0708862930634"	"0.342704646028477"	"0.0254513928884389"	"120"	"38"	"2.91796452598109"	"0.57244785949506"	"0.0385692697432493"
"TSPYL5"	"-1.25123670158634"	"0.286150694927762"	"0.020429765045759"	"8"	"150"	"3.49466214035387"	"0.555067691181852"	"0.033684555690581"
"TSSK1B"	"1.54281081009869"	"4.67771999236035"	"0.00425399961336205"	"152"	"6"	"0.213779362944597"	"0.548115623856568"	"0.0302140224433876"
"TTC13"	"1.51767651415139"	"4.56161402682808"	"0.0164020761458617"	"150"	"8"	"0.219220651751492"	"0.535126234906696"	"0.0256904801194443"
"TTC21B"	"1.30679257238058"	"3.69430547171908"	"0.0324399943472916"	"151"	"7"	"0.27068687407018"	"0.533845590925723"	"0.0284646986223842"
"TTC23L"	"-0.91399938615769"	"0.400917589142096"	"0.00418769938278033"	"44"	"114"	"2.49427819353063"	"0.628064398097329"	"0.0471175846451409"
"TTC26"	"0.73837949018551"	"2.09254178095452"	"0.0291347405339996"	"79"	"79"	"0.47788771010529"	"0.604829857299671"	"0.0446513468190493"
"TTC29"	"-1.44781103750718"	"0.235084316045069"	"0.00351431207283892"	"15"	"143"	"4.25379292342193"	"0.58580314672521"	"0.0414123452198895"
"TTC33"	"-0.758260210571494"	"0.468480776308428"	"0.0185727643264028"	"57"	"101"	"2.13455930439639"	"0.626966703256495"	"0.0457538227240926"
"TTC39B"	"1.78201267090386"	"5.94180328659282"	"0.0169811097105476"	"155"	"3"	"0.168299075510698"	"0.53439443834614"	"0.027306244074787"
"TTF2"	"1.20180739818682"	"3.32612312220472"	"0.000438246080098126"	"121"	"37"	"0.300650325697249"	"0.651115989754848"	"0.0454779560776199"
"TTK"	"0.771129741831459"	"2.16220761085993"	"0.0205524522201184"	"124"	"34"	"0.46249027844384"	"0.613977314306623"	"0.0459000918185617"
"TTL"	"0.771593880217418"	"2.16321140734277"	"0.0185825856620453"	"117"	"41"	"0.462275668760629"	"0.628979143798024"	"0.0461392911654425"
"TTLL1"	"-0.82479141405659"	"0.438326411658336"	"0.0158327462598898"	"79"	"79"	"2.28140484671381"	"0.59732894255397"	"0.0451675783228468"
"TTLL12"	"-0.987756679460334"	"0.372411192322062"	"0.0148441932339647"	"21"	"137"	"2.68520393752076"	"0.580497621661178"	"0.040874985269396"
"TTYH1"	"-1.03344101488695"	"0.355780605466231"	"0.0254305470407196"	"17"	"141"	"2.81072094609979"	"0.542444200512258"	"0.0307810120626261"
"TTYH2"	"-0.668415400285372"	"0.512520073831274"	"0.0356783065489377"	"61"	"97"	"1.95114308894213"	"0.631174533479693"	"0.0447813622689241"
"TTYH3"	"0.938922806686979"	"2.55722530816221"	"0.00379365334597889"	"109"	"49"	"0.391048843763659"	"0.636114160263447"	"0.0448518000155303"
"TUBB4B"	"1.05001855619488"	"2.85770414568619"	"0.0470649560358677"	"29"	"129"	"0.349931255658335"	"0.581961214782291"	"0.0230909498092129"
"TUBGCP2"	"-0.705080376251979"	"0.494068861256885"	"0.0363953940482021"	"75"	"83"	"2.02400936067101"	"0.581412367361873"	"0.0468294771670114"
"TUSC2"	"-0.683681124833914"	"0.504755500268144"	"0.049662794090541"	"34"	"124"	"1.98115721268766"	"0.578851079399927"	"0.0436531861930751"
"TWF1"	"0.876434655577627"	"2.40231932369513"	"0.040965764811759"	"134"	"24"	"0.416264395052132"	"0.541712403951701"	"0.0357336461020109"
"TXLNB"	"1.12631529796246"	"3.08427091743292"	"0.0235280514987296"	"141"	"17"	"0.324225733332243"	"0.551774606659349"	"0.0358868820941965"
"TXN2"	"-0.923688943404817"	"0.397051635149011"	"0.00377206905376644"	"54"	"104"	"2.51856411477743"	"0.659531650201244"	"0.0443548160930651"
"TXNDC15"	"1.18663663126397"	"3.27604411253183"	"0.00978977449955662"	"143"	"15"	"0.305246194999239"	"0.543358946212953"	"0.0310302311425907"
"TXNDC16"	"0.806308722243204"	"2.2396256295705"	"0.037180456963295"	"131"	"27"	"0.446503195354026"	"0.551957555799488"	"0.0407539408113476"
"U2AF1L5"	"-0.921590823558187"	"0.397885571608249"	"0.00600018968139263"	"37"	"121"	"2.51328540504249"	"0.587632638126601"	"0.0448276149082822"
